Date,Open,High,Low,Close,Adj Close,Volume,Bollinger_High,Bollinger_Low,MACD,Signal,RSI,Pivot,R1,S1,R2,S2,R3,S3,R4,S4,OBV,ATR,%K,%D,Close_diff,Close_log_return,Volume_changes
1993-03-18,45.21875,45.5,45.21875,45.3125,25.538711547851562,59300,46.19214147676978,43.46723352323022,0.29285406383919366,0.2862875357037524,57.81346213359088,45.3359375,45.453125,45.171875,45.6171875,45.0546875,45.734375,44.890625,46.1796875,44.4921875,809300,0.41294642857142855,67.3076923076923,62.447332541672175,0.28125,0.006226239415098098,37500.0
1993-03-19,45.28125,45.28125,45.03125,45.03125,25.500064849853516,66900,46.129530611404405,43.6767193885956,0.26177604610220584,0.2813852377834431,52.897133195771495,45.09375,45.15625,44.90625,45.34375,44.84375,45.40625,44.65625,45.84375,44.34375,742400,0.40848214285714285,49.01960784313725,55.75689879241489,-0.28125,-0.006226239415097988,7600.0
1993-03-22,44.59375,44.875,44.5625,44.78125,25.358484268188477,183400,46.051695115010325,43.86080488498967,0.21450094905924288,0.26800838003860306,48.915251042617385,44.75,44.9375,44.625,45.0625,44.4375,45.25,44.3125,45.6875,43.8125,559000,0.39285714285714285,17.073170731707318,44.46682362751229,-0.25,-0.005567168171350217,116500.0
1993-03-23,44.90625,44.9375,44.8125,44.875,25.411571502685547,55200,45.93630749141601,44.09494250858399,0.18249623258331127,0.2509059505475447,50.42240518575938,44.875,44.9375,44.8125,45.0,44.75,45.0625,44.6875,45.25,44.5,614200,0.38839285714285715,24.390243902439025,30.16100749242787,0.09375,0.0020913217799977484,-128200.0
1993-03-24,44.8125,45.0625,44.59375,44.875,25.411571502685547,37200,45.89793374464815,44.19581625535185,0.15534158312115665,0.2317930770622671,50.42240518575938,44.8515625,45.109375,44.640625,45.3203125,44.3828125,45.578125,44.171875,46.2578125,43.4453125,614200,0.39955357142857145,24.390243902439025,21.951219512195127,0.0,0.0,-18000.0
1993-03-25,44.90625,45.25,44.84375,45.15625,25.57084083557129,110100,45.87222254567088,44.30277745432912,0.15473219584316666,0.21638090081844702,55.03775879837402,45.1015625,45.359375,44.953125,45.5078125,44.6953125,45.765625,44.546875,46.3203125,43.8828125,724300,0.39955357142857145,46.34146341463415,31.70731707317074,0.28125,0.006247850938362949,72900.0
1993-03-26,45.125,45.15625,44.875,44.90625,25.429269790649414,101500,45.83525059394829,44.389749406051706,0.13254840585792493,0.1996144018263426,50.5343785637134,44.9609375,45.046875,44.765625,45.2421875,44.6796875,45.328125,44.484375,45.8046875,44.1171875,622800,0.3482142857142857,26.82926829268293,32.520325203252035,-0.25,-0.005551714467507582,-8600.0
1993-03-29,44.9375,45.3125,44.9375,45.09375,25.535444259643555,87100,45.76142153217211,44.5448284678279,0.12861468543235333,0.18541445854754476,53.60081638479483,45.109375,45.28125,44.90625,45.484375,44.734375,45.65625,44.53125,46.234375,43.984375,709900,0.359375,41.46341463414634,38.211382113821145,0.1875,0.004166672694845912,-14400.0
1993-03-30,45.15625,45.21875,45.09375,45.21875,25.606225967407227,56000,45.76744614765026,44.56692885234973,0.13403852629058122,0.17513927209615204,55.57789200714671,45.1875,45.28125,45.15625,45.3125,45.0625,45.40625,45.03125,45.5625,44.8125,765900,0.3482142857142857,51.21951219512195,39.837398373983746,0.125,0.0027681678576130632,-31100.0
1993-03-31,45.34375,45.46875,45.1875,45.1875,25.58853530883789,111600,45.77029708039395,44.57032791960605,0.13426759219044726,0.1669649361150111,54.94753605699383,45.2578125,45.328125,45.046875,45.5390625,44.9765625,45.609375,44.765625,46.1015625,44.4140625,654300,0.34375,66.66666666666666,53.11653116531166,-0.03125,-0.0006913239127738228,55600.0
1993-04-01,45.25,45.25,44.9375,45.03125,25.500064849853516,129500,45.765862913753345,44.59038708624666,0.12045255730070181,0.15766246035214926,51.78495217461968,45.0625,45.1875,44.875,45.375,44.75,45.5,44.5625,46.0,44.125,524800,0.3125,50.0,55.9620596205962,-0.15625,-0.0034638067191878957,17900.0
1993-04-02,44.65625,44.65625,44.09375,44.09375,24.969165802001953,59400,45.88684224662623,44.403782753373775,0.0334698085147096,0.13282392998466133,37.74680097736107,44.234375,44.375,43.8125,44.796875,43.671875,44.9375,43.25,45.921875,42.546875,465400,0.36160714285714285,0.0,38.88888888888889,-0.9375,-0.02103864414670809,-70100.0
1993-04-05,44.4375,44.4375,44.1875,44.3125,25.093032836914062,172200,45.846193961857225,44.30068103814277,-0.017610348608378956,0.10273707426605327,41.71697795977844,44.3125,44.4375,44.1875,44.5625,44.0625,44.6875,43.9375,45.0625,43.5625,637600,0.37723214285714285,15.555555555555555,21.85185185185186,0.21875,0.004948755239258827,112800.0
1993-04-06,44.40625,44.40625,44.0625,44.1875,25.022254943847656,129700,45.830518855491604,44.17573114450839,-0.06740123696853573,0.06870941201913547,40.14158344789017,44.2109375,44.359375,44.015625,44.5546875,43.8671875,44.703125,43.671875,45.2421875,43.1796875,507900,0.37723214285714285,8.695652173913043,8.08373590982287,-0.125,-0.002824860635554739,-42500.0
1993-04-07,44.25,44.34375,44.15625,44.34375,25.110750198364258,28000,45.74741838920975,44.124456610790254,-0.09317869950748303,0.03633178971381176,43.03733618289312,44.296875,44.4375,44.25,44.484375,44.109375,44.625,44.0625,44.859375,43.734375,535900,0.35714285714285715,20.0,14.750402576489536,0.15625,0.00352983070352466,-101700.0
1993-04-08,44.53125,44.53125,44.09375,44.28125,25.075349807739258,180800,45.67736091905104,44.066389080948966,-0.11729860663050573,0.005605710444948262,42.15878114749247,44.296875,44.5,44.0625,44.734375,43.859375,44.9375,43.625,45.609375,42.984375,355100,0.36830357142857145,15.555555555555555,14.750402576489536,-0.0625,-0.0014104374693622755,152800.0
1993-04-12,44.71875,44.9375,44.65625,44.90625,25.429269790649414,348500,45.66145079224009,44.063549207759905,-0.0850016836456291,-0.012515768373167209,52.58297689365487,44.8515625,45.046875,44.765625,45.1328125,44.5703125,45.328125,44.484375,45.6953125,44.0078125,703600,0.38169642857142855,60.0,31.85185185185186,0.625,0.014015646388344492,167700.0
1993-04-13,44.875,45.15625,44.84375,45.0,25.482357025146484,146100,45.620595293197276,44.07315470680272,-0.05125051397206448,-0.020262717492946666,53.92435882451614,45.0,45.15625,44.84375,45.3125,44.6875,45.46875,44.53125,45.9375,44.0625,849700,0.39285714285714285,66.66666666666666,47.40740740740741,0.09375,0.002085506491021361,-202400.0
1993-04-14,45.03125,45.0625,44.90625,44.9375,25.446983337402344,119600,45.5719316652452,44.0843183347548,-0.029208993413320172,-0.02205197267702137,52.8509518699707,44.9609375,45.015625,44.859375,45.1171875,44.8046875,45.171875,44.703125,45.4296875,44.4921875,730100,0.3705357142857143,62.22222222222222,62.96296296296296,-0.0625,-0.0013898542890543016,-26500.0
1993-04-15,44.90625,45.03125,44.75,44.9375,25.446983337402344,148600,45.56302392203458,44.08385107796541,-0.011607129802754912,-0.019963004102168076,52.8509518699707,44.9140625,45.078125,44.796875,45.1953125,44.6328125,45.359375,44.515625,45.7578125,44.0703125,730100,0.36160714285714285,62.22222222222222,63.7037037037037,0.0,0.0,29000.0
1993-04-16,44.96875,45.03125,44.875,44.9375,25.446983337402344,47900,45.510302608200696,44.099072391799304,0.0023157790636787468,-0.01550724746899871,52.8509518699707,44.9453125,45.015625,44.859375,45.1015625,44.7890625,45.171875,44.703125,45.4140625,44.4765625,730100,0.35267857142857145,62.22222222222222,62.22222222222222,0.0,0.0,-100700.0
1993-04-19,44.9375,45.0625,44.71875,44.75,25.34079933166504,157000,45.488395179704064,44.09285482029593,-0.0017596146058025397,-0.012757720896359476,49.18263759954382,44.8203125,44.921875,44.578125,45.1640625,44.4765625,45.265625,44.234375,45.8515625,43.7890625,573100,0.3482142857142857,48.888888888888886,57.77777777777778,-0.1875,-0.004181190760401046,109100.0
1993-04-20,44.6875,44.75,44.25,44.53125,25.216917037963867,279500,45.48549340881503,44.070756591184974,-0.02238267671601335,-0.014682712060290252,45.237653438106015,44.515625,44.78125,44.28125,45.015625,44.015625,45.28125,43.78125,46.015625,43.015625,293600,0.375,33.33333333333333,48.14814814814815,-0.21875,-0.004900254817840067,122500.0
1993-04-21,44.625,44.625,44.375,44.5,25.19923210144043,67900,45.475754098772384,44.04299590122761,-0.040778150714430694,-0.019901799791118342,44.686219230665465,44.5,44.625,44.375,44.75,44.25,44.875,44.125,45.25,43.75,225700,0.37276785714285715,36.84210526315789,39.68810916179337,-0.03125,-0.0007020007308297824,-211600.0
1993-04-22,44.3125,44.6875,43.9375,43.9375,24.88069725036621,97700,45.514584045340335,43.91041595465966,-0.09959764571928531,-0.035840968976751736,36.1453311537046,44.125,44.3125,43.5625,44.875,43.375,45.0625,42.8125,46.375,41.875,128000,0.40401785714285715,0.0,23.391812865497077,-0.5625,-0.012721019601310809,29800.0
1993-04-23,43.84375,43.96875,43.6875,43.75,24.774517059326172,106000,45.523152832895235,43.76122216710476,-0.15950354470349737,-0.06057348412210087,33.82459657602615,43.7890625,43.890625,43.609375,44.0703125,43.5078125,44.171875,43.328125,44.6328125,42.9453125,22000,0.35714285714285715,4.25531914893617,13.699141470698024,-0.1875,-0.004276556767260194,8300.0
1993-04-26,43.78125,43.9375,43.28125,43.40625,24.579856872558594,62600,45.5964219737589,43.537953026241105,-0.23204231405348708,-0.09486725010837811,30.019211086005313,43.5078125,43.734375,43.078125,44.1640625,42.8515625,44.390625,42.421875,45.4765625,41.5390625,-40600,0.3794642857142857,6.666666666666667,3.640661938534284,-0.34375,-0.007888172849006257,-43400.0
1993-04-27,43.34375,43.875,43.34375,43.875,24.845298767089844,156800,45.5484516170235,43.4640483829765,-0.24883716395385846,-0.1256612328774742,39.94173337777386,43.7421875,44.140625,43.609375,44.2734375,43.2109375,44.671875,43.078125,45.3359375,42.1484375,116200,0.39285714285714285,31.666666666666664,14.196217494089838,0.46875,0.010741241831412616,94200.0
1993-04-28,43.8125,43.90625,43.71875,43.78125,24.79220962524414,85900,45.46792009361054,43.40082990638947,-0.2666384034603766,-0.15385666699405467,38.75809152759464,43.796875,43.875,43.6875,43.984375,43.609375,44.0625,43.5,44.359375,43.234375,30300,0.39285714285714285,26.666666666666668,21.66666666666667,-0.09375,-0.0021390382487494184,-70900.0
1993-04-29,43.875,43.96875,43.625,43.96875,24.89839744567871,85000,45.36278765720054,43.38408734279946,-0.2625893642878694,-0.17560320645281763,42.4324842429493,43.8828125,44.140625,43.796875,44.2265625,43.5390625,44.484375,43.453125,44.9140625,42.8515625,115300,0.3861607142857143,36.666666666666664,31.666666666666668,0.1875,0.004273510777382085,-900.0
