,mean,std,count,positive_prob,kelly_size,highest_return_value,highest_return_year,lowest_return_value,lowest_return_year,mean_volume,highest_volume_value,highest_volume_year,lowest_volume_value,lowest_volume_year,Ticker
Mar,5.693637459724761,15.578012505666152,24,0.5833333333333334,-0.5566827969422566,45.279721454247415,2001,-18.534881130605662,2011,9952071250.0,27597580000.0,2011,0.0,2001,NVDA
Apr,0.5963986965442151,13.664816377311777,24,0.5833333333333334,-8.963423766469386,28.307890902205113,2001,-32.02741112324136,2022,9297999166.666666,32098620000.0,2002,0.0,2000,NVDA
May,10.634158129096063,22.949754690892814,24,0.75,0.2104708146077846,82.62310441481677,2003,-25.07480059717393,2019,9201286333.333334,28041600000.0,2001,0.0,2003,NVDA
Jun,-2.7692409255115202,16.793751425151825,24,0.4583333333333333,3.7432101641963946,23.16221698268599,2021,-48.6549206737632,2002,9220497041.666666,23445520000.0,2017,0.0,2001,NVDA
Jul,-2.2052295576396372,15.723467712611386,24,0.5,4.0650410312477785,21.463497047948678,2016,-38.888875774925324,2008,8960921875.0,32480220000.0,2002,0.0,2004,NVDA
Aug,7.004170765208915,12.815872763983988,24,0.75,0.29256281030286513,32.29162117818798,2000,-19.196128448164863,2004,10673531500.0,29863464000.0,2001,0.0,2002,NVDA
Sep,-1.1289487054367848,13.020062120323082,24,0.5833333333333334,5.3887118747516825,25.18758166474897,2010,-35.14326526494165,2001,8473679000.0,23588952000.0,2003,0.0,2000,NVDA
Oct,4.8619315191220425,19.194675342226066,24,0.5416666666666666,-1.267811623443487,56.02465699352535,2001,-24.976848299402043,2018,9089249083.333334,26377200000.0,2001,0.0,2004,NVDA
Nov,9.008449172542887,18.030498486916223,24,0.7916666666666666,0.3746854771751413,43.94916228848338,2002,-34.82520302094717,2000,9759114208.333334,28734600000.0,2001,0.0,2002,NVDA
Dec,2.1536552316603927,15.854190456804302,24,0.625,-2.135572506639319,43.03209080813713,2009,-32.80772937359534,2002,7318991541.666667,21906672000.0,2002,0.0,2000,NVDA
