Year,Week_Number,Return,Volume,Week,Volatility,Positive_Returns,Kelly_Ratio
2022,12,-0.08681137362044478,1080060.0,12,0.024442837544507934,0.07142857142857142,
2023,12,0.0060167865402916965,5448260.0,12,0.024442837544507934,0.07142857142857142,
2010,13,0.0,,13,0.08148830864904474,0.21428571428571427,
2011,13,0.0,,13,0.08148830864904474,0.21428571428571427,
2012,13,0.0,,13,0.08148830864904474,0.21428571428571427,
2013,13,0.0,,13,0.08148830864904474,0.21428571428571427,
2014,13,0.0,,13,0.08148830864904474,0.21428571428571427,
2015,13,0.0,,13,0.08148830864904474,0.21428571428571427,
2016,13,0.0,,13,0.08148830864904474,0.21428571428571427,
2017,13,0.0,,13,0.08148830864904474,0.21428571428571427,
2018,13,0.0,,13,0.08148830864904474,0.21428571428571427,
2019,13,0.0,,13,0.08148830864904474,0.21428571428571427,
2020,13,0.0,,13,0.08148830864904474,0.21428571428571427,
2021,13,0.01462988550203037,374575.0,13,0.08148830864904474,0.21428571428571427,
2022,13,0.04417209256505494,1163460.0,13,0.08148830864904474,0.21428571428571427,
2023,13,0.3060518263152613,9133740.0,13,0.08148830864904474,0.21428571428571427,
2010,14,0.0,,14,0.0981416394993714,0.07142857142857142,
2011,14,0.0,,14,0.0981416394993714,0.07142857142857142,
2012,14,0.0,,14,0.0981416394993714,0.07142857142857142,
2013,14,0.0,,14,0.0981416394993714,0.07142857142857142,
2014,14,0.0,,14,0.0981416394993714,0.07142857142857142,
2015,14,0.0,,14,0.0981416394993714,0.07142857142857142,
2016,14,0.0,,14,0.0981416394993714,0.07142857142857142,
2017,14,0.0,,14,0.0981416394993714,0.07142857142857142,
2018,14,0.0,,14,0.0981416394993714,0.07142857142857142,
2019,14,0.0,,14,0.0981416394993714,0.07142857142857142,
2020,14,0.0,,14,0.0981416394993714,0.07142857142857142,
2021,14,0.2294914907283031,296040.0,14,0.0981416394993714,0.07142857142857142,
2022,14,-0.20025052673220656,1581480.0,14,0.0981416394993714,0.07142857142857142,
2023,14,-0.18486899834965675,5961300.0,14,0.0981416394993714,0.07142857142857142,
2010,15,0.0,,15,0.0636182000842059,0.07142857142857142,
2011,15,0.0,,15,0.0636182000842059,0.07142857142857142,
2012,15,0.0,,15,0.0636182000842059,0.07142857142857142,
2013,15,0.0,,15,0.0636182000842059,0.07142857142857142,
2014,15,0.0,,15,0.0636182000842059,0.07142857142857142,
2015,15,0.0,,15,0.0636182000842059,0.07142857142857142,
2016,15,0.0,,15,0.0636182000842059,0.07142857142857142,
2017,15,0.0,,15,0.0636182000842059,0.07142857142857142,
2018,15,0.0,,15,0.0636182000842059,0.07142857142857142,
2019,15,0.0,,15,0.0636182000842059,0.07142857142857142,
2020,15,0.0,,15,0.0636182000842059,0.07142857142857142,
2021,15,-0.19397522237757048,265640.0,15,0.0636182000842059,0.07142857142857142,
2022,15,-0.06860239832923531,872500.0,15,0.0636182000842059,0.07142857142857142,
2023,15,0.1093563666181202,5330280.0,15,0.0636182000842059,0.07142857142857142,
2010,16,0.0,,16,0.039599364753701856,0.0,
2011,16,0.0,,16,0.039599364753701856,0.0,
2012,16,0.0,,16,0.039599364753701856,0.0,
2013,16,0.0,,16,0.039599364753701856,0.0,
2014,16,0.0,,16,0.039599364753701856,0.0,
2015,16,0.0,,16,0.039599364753701856,0.0,
2016,16,0.0,,16,0.039599364753701856,0.0,
2017,16,0.0,,16,0.039599364753701856,0.0,
2018,16,0.0,,16,0.039599364753701856,0.0,
2019,16,0.0,,16,0.039599364753701856,0.0,
2020,16,0.0,,16,0.039599364753701856,0.0,
2021,16,-0.05385615345733974,187440.0,16,0.039599364753701856,0.0,
2022,16,-0.12540876437270954,953760.0,16,0.039599364753701856,0.0,
2023,16,-0.08127981292600228,8643640.0,16,0.039599364753701856,0.0,
2010,17,0.0,,17,0.04204201267249092,0.07142857142857142,
2011,17,0.0,,17,0.04204201267249092,0.07142857142857142,
2012,17,0.0,,17,0.04204201267249092,0.07142857142857142,
2013,17,0.0,,17,0.04204201267249092,0.07142857142857142,
2014,17,0.0,,17,0.04204201267249092,0.07142857142857142,
2015,17,0.0,,17,0.04204201267249092,0.07142857142857142,
2016,17,0.0,,17,0.04204201267249092,0.07142857142857142,
2017,17,0.0,,17,0.04204201267249092,0.07142857142857142,
2018,17,0.0,,17,0.04204201267249092,0.07142857142857142,
2019,17,0.0,,17,0.04204201267249092,0.07142857142857142,
2020,17,0.0,,17,0.04204201267249092,0.07142857142857142,
2021,17,0.03149961423990544,116420.0,17,0.04204201267249092,0.07142857142857142,
2022,17,-0.07815445802447518,807680.0,17,0.04204201267249092,0.07142857142857142,
2023,17,-0.13503929038903306,9917100.0,17,0.04204201267249092,0.07142857142857142,
2010,18,0.0,,18,0.05921469791051275,0.14285714285714285,
2011,18,0.0,,18,0.05921469791051275,0.14285714285714285,
2012,18,0.0,,18,0.05921469791051275,0.14285714285714285,
2013,18,0.0,,18,0.05921469791051275,0.14285714285714285,
2014,18,0.0,,18,0.05921469791051275,0.14285714285714285,
2015,18,0.0,,18,0.05921469791051275,0.14285714285714285,
2016,18,0.0,,18,0.05921469791051275,0.14285714285714285,
2017,18,0.0,,18,0.05921469791051275,0.14285714285714285,
2018,18,0.0,,18,0.05921469791051275,0.14285714285714285,
2019,18,0.0,,18,0.05921469791051275,0.14285714285714285,
2020,18,0.0,,18,0.05921469791051275,0.14285714285714285,
2021,18,-0.04225591631833403,116980.0,18,0.05921469791051275,0.14285714285714285,
2022,18,0.15365462424806042,5284380.0,18,0.05921469791051275,0.14285714285714285,
2023,18,0.15946166055895628,4483120.0,18,0.05921469791051275,0.14285714285714285,
2010,19,0.0,,19,0.04213475621392435,0.0,
2011,19,0.0,,19,0.04213475621392435,0.0,
2012,19,0.0,,19,0.04213475621392435,0.0,
