Friday Date,Monday Date,Friday Close,Monday Open,Monday Close,Friday-Monday Return (%),Volume Liquidity,Positive Return,Friday Volume,Monday Volume
2014-01-03,2014-01-06,182.88999938964844,183.49000549316406,182.36000061035156,-0.28979101157286835,Sufficient,False,81390600,108028200.0
2014-01-10,2014-01-13,184.13999938964844,183.6699981689453,181.69000244140625,-1.3305077421325961,Sufficient,False,102026400,149892000.0
2014-01-24,2014-01-27,178.88999938964844,179.05999755859375,178.00999450683594,-0.4919251416037636,Sufficient,False,208677100,180843100.0
2014-01-31,2014-02-03,178.17999267578125,177.97000122070312,174.1699981689453,-2.2505301782858296,Sufficient,False,194677900,254837100.0
2014-02-07,2014-02-10,179.67999267578125,179.6999969482422,180.00999450683594,0.18366086626581207,Sufficient,True,170787200,92218800.0
2014-02-21,2014-02-24,183.88999938964844,184.27999877929688,184.91000366210938,0.5546817531385319,Sufficient,True,118116400,114063900.0
2014-02-28,2014-03-03,186.2899932861328,184.64999389648438,184.97999572753906,-0.7032033956765753,Sufficient,False,150842000,167748500.0
2014-03-07,2014-03-10,188.25999450683594,187.97000122070312,188.16000366210938,-0.05311316670782741,Sufficient,False,114513500,74939200.0
2014-03-14,2014-03-17,184.66000366210938,185.58999633789062,186.3300018310547,0.9043637689951924,Sufficient,True,153919600,98359500.0
2014-03-21,2014-03-24,186.1999969482422,186.83999633789062,185.42999267578125,-0.413536135918936,Sufficient,False,163128000,121411000.0
2014-03-28,2014-03-31,185.49000549316406,186.6699981689453,187.00999450683594,0.8194452362167253,Sufficient,True,101642000,99745000.0
2014-04-04,2014-04-07,186.39999389648438,185.9499969482422,184.33999633789062,-1.105148941012172,Sufficient,False,169381000,140803000.0
2014-04-11,2014-04-14,181.50999450683594,182.92999267578125,182.94000244140625,0.7878397762369258,Sufficient,True,167251000,132382000.0
2014-04-25,2014-04-28,186.2899932861328,187.0500030517578,186.8800048828125,0.3167167416091196,Sufficient,True,100380000,135121000.0
2014-05-02,2014-05-05,188.05999755859375,187.13999938964844,188.4199981689453,0.19142859461082218,Sufficient,True,98122000,75883000.0
2014-05-09,2014-05-12,187.9600067138672,188.8000030517578,189.7899932861328,0.9736042279735744,Sufficient,True,83679000,86940000.0
2014-05-16,2014-05-19,188.0500030517578,187.69000244140625,188.74000549316406,0.36692498282828406,Sufficient,True,97458000,63839000.0
2014-05-30,2014-06-02,192.67999267578125,192.9499969482422,192.89999389648438,0.11417958743299135,Sufficient,True,76316000,64656000.0
2014-06-06,2014-06-09,195.3800048828125,195.35000610351562,195.5800018310547,0.10236305826798614,Sufficient,True,78696000,65119000.0
2014-06-13,2014-06-16,194.1300048828125,193.88999938964844,194.2899932861328,0.08241302183909709,Sufficient,True,82017000,87424000.0
2014-06-20,2014-06-23,195.94000244140625,195.99000549316406,195.8800048828125,-0.030620372484527057,Sufficient,False,100587000,70611000.0
2014-06-27,2014-06-30,195.82000732421875,195.6999969482422,195.72000122070312,-0.05107042170111102,Sufficient,False,71445100,70201200.0
2014-07-11,2014-07-14,196.61000061035156,197.61000061035156,197.60000610351562,0.5035377092165771,Sufficient,True,64243000,58658000.0
2014-07-18,2014-07-21,197.7100067138672,197.08999633789062,197.33999633789062,-0.18714802661053692,Sufficient,False,124330000,67592000.0
2014-07-25,2014-07-28,197.72000122070312,197.75999450683594,197.8000030517578,0.04046218418003457,Sufficient,True,76837000,69259000.0
2014-08-01,2014-08-04,192.5,192.8699951171875,193.88999938964844,0.7220776050121753,Sufficient,True,189261000,91340000.0
2014-08-08,2014-08-11,193.24000549316406,193.97000122070312,193.8000030517578,0.28979380183963,Sufficient,True,117014000,74544000.0
2014-08-15,2014-08-18,195.72000122070312,196.8000030517578,197.36000061035156,0.8379314221437678,Sufficient,True,139951000,75424000.0
2014-08-22,2014-08-25,199.19000244140625,200.13999938964844,200.1999969482422,0.5070508029804546,Sufficient,True,76107000,63855000.0
2014-09-05,2014-09-08,201.11000061035156,200.9199981689453,200.58999633789062,-0.2585670881024162,Sufficient,False,102177000,64146000.0
2014-09-12,2014-09-15,199.1300048828125,199.16000366210938,198.97999572753906,-0.07533227117717267,Sufficient,False,117409300,76401000.0
2014-09-19,2014-09-22,200.6999969482422,200.35000610351562,199.14999389648438,-0.7722984929379632,Sufficient,False,121649000,125553000.0
2014-09-26,2014-09-29,197.89999389648438,196.1999969482422,197.5399932861328,-0.18191036960813053,Sufficient,False,103547000,95112000.0
2014-10-03,2014-10-06,196.52000427246094,197.33999633789062,196.2899932861328,-0.11704202184385831,Sufficient,False,121569000,104778000.0
2014-10-10,2014-10-13,190.5399932861328,190.4600067138672,187.41000366210938,-1.6426943079205163,Sufficient,False,221909000,230939000.0
2014-10-17,2014-10-20,188.47000122070312,188.1300048828125,190.3000030517578,0.9709777785334172,Sufficient,True,214625000,130011000.0
2014-10-24,2014-10-27,196.42999267578125,195.72999572753906,196.16000366210938,-0.13744795791827322,Sufficient,False,117927000,82954000.0
2014-10-31,2014-11-03,201.66000366210938,201.9199981689453,201.77000427246094,0.05454755943368601,Sufficient,True,146903000,93600000.0
2014-11-07,2014-11-10,203.33999633789062,203.3800048828125,203.97999572753906,0.3147434843978991,Sufficient,True,89540000,66319000.0
