Date,SPY,QQQ,SPYD,AGNC,JEPI,O,MSFT,NVDA,TSLA,TQQQ,XXXX,SOXL,NVDL,TSLL,SPXS,UVXY
2014-07-25,166.02821350097656,89.39398193359375,,7.320176601409912,,27.772001266479492,37.88032913208008,4.234091281890869,14.904666900634766,3.2980804443359375,,1.576059341430664,,,1159.6649169921875,33325000.0
2014-07-28,166.09547424316406,89.42166137695312,,7.354325294494629,,27.821693420410156,37.429168701171875,4.217430114746094,14.98799991607666,3.3021316528320312,,1.57098388671875,,,1160.59033203125,32937500.0
2014-07-29,165.38168334960938,89.26457977294922,,7.289129734039307,,27.697429656982422,37.361083984375,4.231710433959961,15.000666618347168,3.28551983833313,,1.5637563467025757,,,1174.010498046875,32775000.0
2014-07-30,165.40687561035156,89.61573028564453,,7.118388652801514,,27.106489181518555,37.09718322753906,4.303110122680664,15.261333465576172,3.324821949005127,,1.6098939180374146,,,1172.6220703125,33950000.0
2014-07-31,162.140380859375,87.80455780029297,,7.177376747131348,,26.86312484741211,36.73965835571289,4.165069580078125,14.886667251586914,3.1222360134124756,,1.5007009506225586,,,1243.423828125,39625000.0
2014-08-01,161.64495849609375,87.48112487792969,,7.220834255218506,,26.819433212280273,36.484291076660156,4.21028995513916,15.5513334274292,3.086176633834839,,1.523154854774475,,,1254.9927978515625,43412500.0
2014-08-04,162.81219482421875,88.08177185058594,,7.180478572845459,,27.037860870361328,36.918434143066406,4.200769901275635,15.90133285522461,3.1493828296661377,,1.5422248840332031,,,1226.7647705078125,39425000.0
2014-08-05,161.23348999023438,87.40723419189453,,7.196003437042236,,26.987932205200195,36.671566009521484,4.203149318695068,15.899333000183105,3.0756421089172363,,1.4962409734725952,,,1263.784912109375,44850000.0
2014-08-06,161.2838592529297,87.342529296875,,7.202208518981934,,27.044092178344727,36.382144927978516,4.198389530181885,16.595333099365234,3.0703747272491455,,1.5096211433410645,,,1262.3966064453125,45250000.0
2014-08-07,160.4105682373047,87.06531524658203,,7.20841646194458,,27.175128936767578,36.799251556396484,4.155550479888916,16.826000213623047,3.040797472000122,,1.450411081314087,,,1282.7578125,47212500.0
2014-08-08,162.26638793945312,87.69365692138672,,7.20841646194458,,27.33112335205078,36.773704528808594,4.522073745727539,16.54199981689453,3.1056246757507324,,1.4990097284317017,,,1237.8704833984375,43425000.0
2014-08-11,162.73651123046875,88.21113586425781,,7.199108123779297,,27.26250457763672,36.773704528808594,4.498275279998779,17.288000106811523,3.1619436740875244,,1.544224500656128,,,1227.227294921875,39900000.0
2014-08-12,162.5098876953125,88.17418670654297,,7.196003437042236,,27.312410354614258,37.04609680175781,4.498275279998779,17.33066749572754,3.1546504497528076,,1.538380742073059,,,1231.854736328125,39237500.0
2014-08-13,163.60987854003906,89.10748291015625,,7.217732906341553,,27.80537223815918,37.522804260253906,4.5244550704956055,17.354000091552734,3.257157325744629,,1.5826725959777832,,,1205.4776611328125,34850000.0
2014-08-14,164.38241577148438,89.56952667236328,,7.236355781555176,,27.79914665222168,37.68454360961914,4.474476337432861,17.42533302307129,3.307398796081543,,1.5911306142807007,,,1190.206787109375,32612500.0
2014-08-15,164.3488311767578,90.00381469726562,,7.270506381988525,,27.898962020874023,38.12718963623047,4.531594276428223,17.46733283996582,3.3523731231689453,,1.6391135454177856,,,1189.281494140625,32500000.0
2014-08-18,165.72593688964844,90.69689178466797,,7.245668411254883,,28.154804229736328,38.39958572387695,4.593475818634033,17.32933235168457,3.4334065914154053,,1.660798192024231,,,1160.59033203125,30125000.0
2014-08-19,166.59085083007812,91.20511627197266,,7.230151653289795,,28.23591423034668,38.8278694152832,4.63053035736084,17.117332458496094,3.4925618171691895,,1.6963244676589966,,,1142.080322265625,29525000.0
2014-08-20,167.03590393066406,91.20511627197266,,7.251877784729004,,28.34825897216797,38.502376556396484,4.60184383392334,17.047332763671875,3.4925618171691895,,1.7380021810531616,,,1132.8251953125,30000000.0
2014-08-21,167.52294921875,91.38992309570312,,7.28292179107666,,28.329524993896484,38.733646392822266,4.558814525604248,16.95599937438965,3.5124146938323975,,1.761070966720581,,,1122.644775390625,30137500.0
2014-08-22,167.26266479492188,91.52852630615234,,7.251877784729004,,28.136098861694336,38.67369079589844,4.5612030029296875,17.118667602539062,3.5261905193328857,,1.7649160623550415,,,1128.1978759765625,29875000.0
2014-08-25,168.11070251464844,91.8519515991211,,7.258088111877441,,27.96761131286621,38.690826416015625,4.568375587463379,17.503332138061523,3.565492630004883,,1.7435386180877686,,,1110.6129150390625,29275000.0
2014-08-26,168.21990966796875,91.94436645507812,,7.295342922210693,,27.930160522460938,38.55376434326172,4.649656295776367,17.44933319091797,3.5776476860046387,,1.7450770139694214,,,1107.83642578125,29787500.0
2014-08-27,168.1527557373047,91.96285247802734,,7.301548480987549,,27.898962020874023,38.43385314941406,4.597062110900879,17.549999237060547,3.578052520751953,,1.754611849784851,,,1109.6873779296875,30137500.0
2014-08-28,168.0603485107422,91.86119842529297,,7.2984466552734375,,27.93218231201172,38.442413330078125,4.635310173034668,17.590667724609375,3.5634663105010986,,1.7921371459960938,,,1110.6129150390625,31237500.0
2014-08-29,168.5389404296875,92.20311737060547,,7.341905117034912,,28.01988983154297,38.91352081298828,4.649656295776367,17.979999542236328,3.605198621749878,,1.8119765520095825,,,1100.4322509765625,30762500.0
2014-09-02,168.45501708984375,92.47107696533203,,7.320176601409912,,27.96348762512207,38.622291564941406,4.6616082191467285,18.941333770751953,3.635181188583374,,1.7875232696533203,,,1103.2088623046875,31187500.0
2014-09-03,168.36264038085938,91.92589569091797,,7.326383590698242,,27.93218231201172,38.510955810546875,4.704636096954346,18.746000289916992,3.5727853775024414,,1.803209900856018,,,1105.059814453125,30450000.0
2014-09-04,168.11917114257812,91.84268951416016,,7.289129734039307,,27.957246780395508,38.76790237426758,4.7883076667785645,19.069332122802734,3.5614404678344727,,1.8170515298843384,,,1108.7615966796875,30537500.0
2014-09-05,168.87489318847656,92.30474090576172,,7.357426643371582,,28.41463279724121,39.324676513671875,4.773963928222656,18.492666244506836,3.616544008255005,,1.8627276420593262,,,1094.8792724609375,29275000.0
2014-09-08,168.438232421875,92.48031616210938,,7.351219654083252,,28.182796478271484,39.80434799194336,4.730934143066406,18.80733299255371,3.6347761154174805,,1.8742622137069702,,,1101.8204345703125,29437500.0
