Date,Ladder Type,Lower Strike,Upper Strike,Probability Lower Expiry,Probability Upper Expiry
2022-08-31,bull,376.0,398.0,0.8172764639650602,0.46817466502341654
2022-09-01,bull,393.0,376.0,0.5766684822872575,0.8312958963186807
2022-09-01,bull,376.0,397.0,0.8312958963186807,0.5071721305803145
2022-09-02,bull,390.0,376.0,0.5566567214917276,0.781035235462406
2022-09-02,bull,376.0,394.0,0.781035235462406,0.4863415760557107
2022-09-06,bull,386.0,375.0,0.6008644122133047,0.7752786096261535
2022-09-06,bull,375.0,393.0,0.7752786096261535,0.477789122758381
2022-09-07,bull,385.0,375.0,0.7287097664847255,0.8565042450313209
2022-09-07,bull,375.0,391.0,0.8565042450313209,0.6334735140059607
2022-09-08,bull,384.0,375.0,0.7784015178587713,0.8805195777965618
2022-09-08,bull,375.0,391.0,0.8805195777965618,0.6750534607084994
2022-09-09,bull,383.0,374.0,0.8597016306803718,0.9319992272065738
2022-09-09,bull,374.0,391.0,0.9319992272065738,0.764520741399235
2022-09-12,bull,384.0,374.0,0.888573537586723,0.9531317850496133
2022-09-12,bull,374.0,392.0,0.9531317850496133,0.805612342315766
2022-09-13,bull,383.0,374.0,0.6893955655766567,0.8175335229599244
2022-09-13,bull,374.0,389.0,0.8175335229599244,0.5889721174033291
2022-09-14,bull,382.0,373.0,0.727538859339379,0.8457430402201453
2022-09-14,bull,373.0,389.0,0.8457430402201453,0.6144238198123074
2022-09-15,bull,382.0,373.0,0.6582224607531806,0.7940559627214858
2022-09-15,bull,373.0,387.0,0.7940559627214858,0.5723574975812352
2022-09-16,bull,381.0,373.0,0.598463092726,0.7313591327160682
2022-09-16,bull,373.0,385.0,0.7313591327160682,0.5272967659472305
2022-09-19,bull,381.0,372.0,0.6492039415150646,0.7873406659160888
2022-09-19,bull,372.0,384.0,0.7873406659160888,0.597671389894889
2022-09-20,bull,379.0,372.0,0.6080993610923697,0.724834335022749
2022-09-20,bull,372.0,383.0,0.724834335022749,0.5368593154978135
2022-09-21,bull,376.0,371.0,0.5426905861035342,0.632727347370403
2022-09-21,bull,371.0,380.0,0.632727347370403,0.4696804986357287
2022-09-22,bull,373.0,370.0,0.5397724257671588,0.5947304762691252
2022-09-22,bull,370.0,378.0,0.5947304762691252,0.44797641412592637
2022-09-23,bull,371.0,370.0,0.46029958439682445,0.478893853680917
2022-09-23,bull,370.0,375.0,0.478893853680917,0.38765985302554407
2022-09-26,bull,366.0,369.0,0.48529780940031986,0.42926176699061025
2022-09-26,bull,369.0,373.0,0.42926176699061025,0.35755578083944173
2022-09-27,bull,362.0,368.0,0.5434798237679571,0.43033447973356287
2022-09-27,bull,368.0,370.0,0.43033447973356287,0.3938105614224285
2022-09-28,bull,360.0,367.0,0.7063173761785284,0.5828160459730171
2022-09-28,bull,367.0,368.0,0.5828160459730171,0.5643361428983534
2022-09-29,bull,357.0,366.0,0.6262586781154846,0.45649108630036256
2022-09-29,bull,366.0,366.0,0.45649108630036256,0.45649108630036256
2022-09-30,bull,352.0,365.0,0.6165112241899342,0.3700133684741179
2022-09-30,bull,365.0,363.0,0.3700133684741179,0.4064641350740609
2022-10-03,bull,351.0,365.0,0.7872620752230639,0.5475733018825006
2022-10-03,bull,365.0,362.0,0.5475733018825006,0.6035247731429751
2022-10-04,bull,350.0,364.0,0.9154235754953147,0.7566629114662511
2022-10-04,bull,364.0,361.0,0.7566629114662511,0.7992516632043932
2022-10-05,bull,350.0,364.0,0.9089894158494363,0.7438417574890838
2022-10-05,bull,364.0,361.0,0.7438417574890838,0.7877324025410266
2022-10-06,bull,350.0,363.0,0.8759455342818254,0.6996107889167194
2022-10-06,bull,363.0,361.0,0.6996107889167194,0.7320336146757739
2022-10-07,bull,350.0,362.0,0.7469594132976908,0.5323026401638067
2022-10-07,bull,362.0,359.0,0.5323026401638067,0.589087222004855
2022-10-10,bull,351.0,361.0,0.6853741168704468,0.4984908617561225
2022-10-10,bull,361.0,357.0,0.4984908617561225,0.5750340435855021
2022-10-11,bull,350.0,361.0,0.6635450276965466,0.4546894229182651
2022-10-11,bull,361.0,356.0,0.4546894229182651,0.5508269856625047
2022-10-12,bull,350.0,360.0,0.6424189714021729,0.4510528539587171
2022-10-12,bull,360.0,355.0,0.4510528539587171,0.5474601886041883
2022-10-13,bull,350.0,359.0,0.792781778069857,0.646674220726035
2022-10-13,bull,359.0,353.0,0.646674220726035,0.7480233651485216
2022-10-14,bull,350.0,358.0,0.6615992566516165,0.5101285213122715
2022-10-14,bull,358.0,351.0,0.5101285213122715,0.6433453073123543
2022-10-17,bull,351.0,358.0,0.790131303040543,0.678981620133156
2022-10-17,bull,358.0,351.0,0.678981620133156,0.790131303040543
2022-10-18,bull,353.0,357.0,0.8187964205840748,0.762888578040238
2022-10-18,bull,357.0,351.0,0.762888578040238,0.8435606618703602
2022-10-19,bull,353.0,356.0,0.7845374169276369,0.7392489468490027
2022-10-19,bull,356.0,351.0,0.7392489468490027,0.8121970898599522
2022-10-20,bull,353.0,356.0,0.7394851109928554,0.6897638294627952
2022-10-20,bull,356.0,350.0,0.6897638294627952,0.7851156993398158
2022-10-21,bull,353.0,355.0,0.8548901611451032,0.8314179283726306
2022-10-21,bull,355.0,351.0,0.8314179283726306,0.8761700703563717
2022-10-24,bull,352.0,355.0,0.9061530055045026,0.8790878562618583
2022-10-24,bull,355.0,352.0,0.8790878562618583,0.9061530055045026
2022-10-25,bull,352.0,354.0,0.9442886083340651,0.9323725964785932
2022-10-25,bull,354.0,353.0,0.9323725964785932,0.9385475203875153
2022-10-26,bull,351.0,354.0,0.9344933582640036,0.9135128268055408
2022-10-26,bull,354.0,355.0,0.9135128268055408,0.905551597613176
2022-10-27,bull,351.0,354.0,0.921813951995352,0.897952290495472
2022-10-27,bull,354.0,356.0,0.897952290495472,0.8794795686124324
2022-10-28,bull,352.0,353.0,0.962079474515591,0.9578450091451713
2022-10-28,bull,353.0,357.0,0.9578450091451713,0.9371209110949391
2022-10-31,bull,352.0,353.0,0.95050598095134,0.9452720267806187
2022-10-31,bull,353.0,359.0,0.9452720267806187,0.9046850052297508
2022-11-01,bull,351.0,353.0,0.9477156686046229,0.9363311320104049
2022-11-01,bull,353.0,360.0,0.9363311320104049,0.8819081743155112
2022-11-02,bull,351.0,352.0,0.8815697714272746,0.8715176652490484
2022-11-02,bull,352.0,359.0,0.8715176652490484,0.7859749382835651
2022-11-03,bull,351.0,352.0,0.8422140483019049,0.8300399287673061
2022-11-03,bull,352.0,359.0,0.8300399287673061,0.7301481914780589
2022-11-04,bull,352.0,352.0,0.885287698682047,0.885287698682047
2022-11-04,bull,352.0,359.0,0.885287698682047,0.8053205450545498
2022-11-07,bull,354.0,351.0,0.8977085163636022,0.9216139609502363
2022-11-07,bull,351.0,360.0,0.9216139609502363,0.8358377768656884
2022-11-08,bull,356.0,351.0,0.8969247799213441,0.934377669919518
2022-11-08,bull,351.0,360.0,0.934377669919518,0.8578465970584828
2022-11-09,bull,359.0,351.0,0.7758668063677958,0.8746490540359986
2022-11-09,bull,351.0,359.0,0.8746490540359986,0.7758668063677958
2022-11-10,bull,359.0,351.0,0.9539969315016684,0.9810181659890655
2022-11-10,bull,351.0,361.0,0.9810181659890655,0.9439340863316671
2022-11-11,bull,361.0,351.0,0.9604143009637375,0.9875218114695492
2022-11-11,bull,351.0,364.0,0.9875218114695492,0.9465376571173473
2022-11-14,bull,362.0,351.0,0.940576353191324,0.9818747415397784
2022-11-14,bull,351.0,366.0,0.9818747415397784,0.9145461534949089
2022-11-15,bull,363.0,351.0,0.9514371045973323,0.9874936704289717
2022-11-15,bull,351.0,367.0,0.9874936704289717,0.9291018707471039
2022-11-16,bull,364.0,351.0,0.9303845008826186,0.982509006988693
2022-11-16,bull,351.0,369.0,0.982509006988693,0.8929482945683866
2022-11-17,bull,367.0,351.0,0.9003266044192183,0.9800840178456461
2022-11-17,bull,351.0,370.0,0.9800840178456461,0.8733573124069827
2022-11-18,bull,368.0,350.0,0.9057027349876559,0.9854956385477173
2022-11-18,bull,350.0,372.0,0.9854956385477173,0.870233938473659
2022-11-21,bull,369.0,350.0,0.8858311037032007,0.983008535480484
2022-11-21,bull,350.0,373.0,0.983008535480484,0.8456386517298735
2022-11-22,bull,369.0,350.0,0.9245243509596691,0.9906586391226452
2022-11-22,bull,350.0,374.0,0.9906586391226452,0.8855234542125546
2022-11-23,bull,369.0,350.0,0.9388249664099286,0.9930648852980092
2022-11-23,bull,350.0,376.0,0.9930648852980092,0.8886706070655224
2022-11-25,bull,369.0,351.0,0.9383548708869289,0.9919648468223102
2022-11-25,bull,351.0,377.0,0.9919648468223102,0.8789208909680336
2022-11-28,bull,369.0,350.0,0.8966149339903432,0.9853014161911443
2022-11-28,bull,350.0,378.0,0.9853014161911443,0.8009766300041438
2022-11-29,bull,370.0,350.0,0.88215859427784,0.9841568144254974
2022-11-29,bull,350.0,378.0,0.9841568144254974,0.792561285752281
2022-11-30,bull,370.0,350.0,0.9575589916705785,0.9963793001737653
2022-11-30,bull,350.0,379.0,0.9963793001737653,0.9043543720447726
2022-12-01,bull,372.0,350.0,0.9470515680125334,0.9962387688664469
2022-12-01,bull,350.0,381.0,0.9962387688664469,0.8854843911158248
