Date,Ladder Type,Lower Strike,Upper Strike,Probability Lower Expiry,Probability Upper Expiry
2016-10-07,bear,224.0,220.0,0.25342293950463457,0.36254389854608204
2016-10-10,bear,218.0,224.0,0.45877897605711515,0.28305859446546267
2016-10-10,bear,224.0,220.0,0.28305859446546267,0.39678038562064244
2016-10-11,bear,218.0,224.0,0.3730999041606329,0.21362007740059097
2016-10-11,bear,224.0,220.0,0.21362007740059097,0.31496211155109693
2016-10-12,bear,217.0,224.0,0.4124253465477351,0.22029003022813926
2016-10-12,bear,224.0,219.0,0.22029003022813926,0.35189278844244765
2016-10-13,bear,218.0,224.0,0.3602569759427223,0.2038236637132349
2016-10-13,bear,224.0,219.0,0.2038236637132349,0.3310403753500415
2016-10-14,bear,218.0,224.0,0.36360854195418124,0.2063650422909532
2016-10-14,bear,224.0,219.0,0.2063650422909532,0.3342891561767805
2016-10-17,bear,218.0,224.0,0.3412425609574693,0.1896075976005962
2016-10-17,bear,224.0,218.0,0.1896075976005962,0.3412425609574693
2016-10-18,bear,218.0,224.0,0.38172816532382436,0.22029003022813926
2016-10-18,bear,224.0,218.0,0.22029003022813926,0.38172816532382436
2016-10-19,bear,218.0,224.0,0.39943468975563645,0.23420161890015956
2016-10-19,bear,224.0,218.0,0.23420161890015956,0.39943468975563645
2016-10-20,bear,217.0,224.0,0.417794801211574,0.22439263027074252
2016-10-20,bear,224.0,218.0,0.22439263027074252,0.38699000242309095
2016-10-21,bear,217.0,224.0,0.420958290781865,0.22682430473745174
2016-10-21,bear,224.0,218.0,0.22682430473745174,0.39009278741998576
2016-10-24,bear,217.0,224.0,0.4498901360846417,0.24957032139942342
2016-10-24,bear,224.0,218.0,0.24957032139942342,0.4185620073312381
2016-10-25,bear,217.0,224.0,0.4269793825107657,0.23148250557415823
2016-10-25,bear,224.0,218.0,0.23148250557415823,0.39600386225781664
2016-10-26,bear,217.0,224.0,0.4133720192196559,0.22101109254409784
2016-10-26,bear,224.0,218.0,0.22101109254409784,0.3826554451418679
2016-10-27,bear,217.0,224.0,0.395453958229615,0.207526022378959
2016-10-27,bear,224.0,218.0,0.207526022378959,0.3651349678648528
2016-10-28,bear,216.0,224.0,0.4065633456030601,0.1931627207161455
2016-10-28,bear,224.0,217.0,0.1931627207161455,0.3758506634389268
2016-10-31,bear,216.0,224.0,0.4068798289437215,0.19338640385081324
2016-10-31,bear,224.0,217.0,0.19338640385081324,0.376160235501408
2016-11-01,bear,216.0,224.0,0.3588518761530374,0.16073649959968173
2016-11-01,bear,224.0,217.0,0.16073649959968173,0.3294140006430112
2016-11-02,bear,216.0,224.0,0.3205755752004641,0.13654026742786907
2016-11-02,bear,224.0,217.0,0.13654026742786907,0.29250121465716317
2016-11-03,bear,217.0,224.0,0.265804234488702,0.11990613786490795
2016-11-03,bear,224.0,216.0,0.11990613786490795,0.29268762946016513
2016-11-04,bear,217.0,224.0,0.25957907177875006,0.1161319882829171
2016-11-04,bear,224.0,216.0,0.1161319882829171,0.28615893258474157
2016-11-07,bear,216.0,224.0,0.42592644586293416,0.20706112964893875
2016-11-07,bear,224.0,216.0,0.20706112964893875,0.42592644586293416
2016-11-08,bear,216.0,224.0,0.4566329438349268,0.23000628692208402
2016-11-08,bear,224.0,216.0,0.23000628692208402,0.4566329438349268
2016-11-09,bear,217.0,225.0,0.4975040994162133,0.2632651118476903
2016-11-09,bear,225.0,217.0,0.2632651118476903,0.4975040994162133
2016-11-10,bear,217.0,225.0,0.5147234131983774,0.27754816527800363
2016-11-10,bear,225.0,217.0,0.27754816527800363,0.5147234131983774
